State,City,Received,Approved,Denied,Pending,Category,Year,Quarter,Start_date,End_date
California,Los Angeles,1967,558,202,8771,Family,2018,4,2018-07-01,2018-09-30
California,Los Angeles County,1949,1416,425,8385,Family,2018,4,2018-07-01,2018-09-30
California,Sacramento,1003,967,82,3549,Family,2018,4,2018-07-01,2018-09-30
California,San Bernardino,1711,2226,294,5799,Family,2018,4,2018-07-01,2018-09-30
California,San Diego,1339,1452,144,3484,Family,2018,4,2018-07-01,2018-09-30
California,San Fernando Valley,1190,803,170,6925,Family,2018,4,2018-07-01,2018-09-30
California,San Francisco,2023,1060,123,11504,Family,2018,4,2018-07-01,2018-09-30
California,San Jose,1133,1220,111,4296,Family,2018,4,2018-07-01,2018-09-30
California,Santa Ana,1408,821,210,6950,Family,2018,4,2018-07-01,2018-09-30
Colorado,Denver,1134,1169,163,4713,Family,2018,4,2018-07-01,2018-09-30
Connecticut,Hartford,840,774,149,3564,Family,2018,4,2018-07-01,2018-09-30
Delaware,Dover,0,0,0,0,Family,2018,4,2018-07-01,2018-09-30
District Of Columbia,Washington,1411,1801,200,5869,Family,2018,4,2018-07-01,2018-09-30
Florida,Hialeah,734,1009,136,3024,Family,2018,4,2018-07-01,2018-09-30
Florida,Jacksonville,548,607,72,1382,Family,2018,4,2018-07-01,2018-09-30
Florida,Kendall,684,434,83,2956,Family,2018,4,2018-07-01,2018-09-30
Florida,Miami,1209,308,122,9151,Family,2018,4,2018-07-01,2018-09-30
Florida,Fort Myers,474,344,53,2329,Family,2018,4,2018-07-01,2018-09-30
Florida,Oakland Park,1466,550,180,10385,Family,2018,4,2018-07-01,2018-09-30
Florida,Orlando,1469,1582,274,7149,Family,2018,4,2018-07-01,2018-09-30
Florida,Tampa,1145,1332,222,3095,Family,2018,4,2018-07-01,2018-09-30
Florida,West Palm Beach,1138,1342,210,4702,Family,2018,4,2018-07-01,2018-09-30
Georgia,Atlanta,2059,1606,297,11632,Family,2018,4,2018-07-01,2018-09-30
Hawaii,Honolulu,319,466,61,1105,Family,2018,4,2018-07-01,2018-09-30
Idaho,Boise,165,487,34,726,Family,2018,4,2018-07-01,2018-09-30
Illinois,Chicago,3094,2766,295,14499,Family,2018,4,2018-07-01,2018-09-30
Indiana,Indianapolis,639,523,96,1938,Family,2018,4,2018-07-01,2018-09-30
Iowa,Des Moines,226,153,22,978,Family,2018,4,2018-07-01,2018-09-30
Kansas,Wichita,199,144,11,657,Family,2018,4,2018-07-01,2018-09-30
Kentucky,Louisville,288,341,43,889,Family,2018,4,2018-07-01,2018-09-30
Louisiana,New Orleans,420,466,55,2309,Family,2018,4,2018-07-01,2018-09-30
Maine,Portland,101,87,20,222,Family,2018,4,2018-07-01,2018-09-30
Maryland,Baltimore,1676,1439,127,10122,Family,2018,4,2018-07-01,2018-09-30
Massachusetts,Boston,1858,2410,282,5589,Family,2018,4,2018-07-01,2018-09-30
Massachusetts,Lawrence,660,571,146,2313,Family,2018,4,2018-07-01,2018-09-30
Michigan,Detroit,860,1159,139,2375,Family,2018,4,2018-07-01,2018-09-30
Minnesota,St. Paul,878,646,124,5041,Family,2018,4,2018-07-01,2018-09-30
Missouri,Kansas City,461,539,84,1069,Family,2018,4,2018-07-01,2018-09-30
Missouri,St. Louis,272,199,20,930,Family,2018,4,2018-07-01,2018-09-30
Montana,Helena,57,263,31,513,Family,2018,4,2018-07-01,2018-09-30
Nebraska,Omaha,242,376,56,794,Family,2018,4,2018-07-01,2018-09-30
Nevada,Las Vegas,862,437,111,4533,Family,2018,4,2018-07-01,2018-09-30
Nevada,Reno,146,150,19,509,Family,2018,4,2018-07-01,2018-09-30
New Hampshire,Manchester,147,190,20,344,Family,2018,4,2018-07-01,2018-09-30
New Jersey,Mount Laurel,647,715,121,2922,Family,2018,4,2018-07-01,2018-09-30
New Jersey,Newark,3352,3000,596,13586,Family,2018,4,2018-07-01,2018-09-30
New Mexico,Albuquerque,300,426,22,773,Family,2018,4,2018-07-01,2018-09-30
New York,Albany,130,135,22,464,Family,2018,4,2018-07-01,2018-09-30
New York,Brooklyn,2061,1091,381,14296,Family,2018,4,2018-07-01,2018-09-30
New York,Buffalo,289,410,43,760,Family,2018,4,2018-07-01,2018-09-30
New York,Long Island,1129,1681,288,4598,Family,2018,4,2018-07-01,2018-09-30
New York,New York,2799,1461,477,20902,Family,2018,4,2018-07-01,2018-09-30
New York,Queens,2272,2588,334,12040,Family,2018,4,2018-07-01,2018-09-30
North Carolina,Charlotte,745,861,99,2293,Family,2018,4,2018-07-01,2018-09-30
North Carolina,Raleigh,757,1019,127,1786,Family,2018,4,2018-07-01,2018-09-30
Ohio,Cincinnati,281,336,31,717,Family,2018,4,2018-07-01,2018-09-30
Ohio,Cleveland,362,405,55,864,Family,2018,4,2018-07-01,2018-09-30
Ohio,Columbus,356,323,60,1021,Family,2018,4,2018-07-01,2018-09-30
Oklahoma,Oklahoma City,525,684,67,1218,Family,2018,4,2018-07-01,2018-09-30
Oregon,Portland,658,650,56,2035,Family,2018,4,2018-07-01,2018-09-30
Pennsylvania,Philadelphia,1645,1031,280,7806,Family,2018,4,2018-07-01,2018-09-30
Pennsylvania,Pittsburgh,247,173,22,879,Family,2018,4,2018-07-01,2018-09-30
Rhode Island,Providence,283,588,61,981,Family,2018,4,2018-07-01,2018-09-30
South Carolina,Charleston,345,432,83,1054,Family,2018,4,2018-07-01,2018-09-30
South Carolina,Greer,178,236,14,494,Family,2018,4,2018-07-01,2018-09-30
Tennessee,Memphis,263,714,71,953,Family,2018,4,2018-07-01,2018-09-30
Tennessee,Nashville,477,234,32,1913,Family,2018,4,2018-07-01,2018-09-30
Texas,Dallas,3239,2176,331,18794,Family,2018,4,2018-07-01,2018-09-30
Texas,El Paso,776,921,115,2684,Family,2018,4,2018-07-01,2018-09-30
Texas,Harlingen,701,1160,120,2421,Family,2018,4,2018-07-01,2018-09-30
Texas,Houston,3263,3091,605,21503,Family,2018,4,2018-07-01,2018-09-30
Texas,San Antonio,1716,2491,298,5797,Family,2018,4,2018-07-01,2018-09-30
Utah,Salt Lake City,719,156,53,3733,Family,2018,4,2018-07-01,2018-09-30
Vermont,St. Albans,52,244,11,294,Family,2018,4,2018-07-01,2018-09-30
Virginia,Norfolk,461,450,108,2089,Family,2018,4,2018-07-01,2018-09-30
Washington,Seattle,1199,338,127,6632,Family,2018,4,2018-07-01,2018-09-30
Washington,Spokane,78,93,16,229,Family,2018,4,2018-07-01,2018-09-30
Washington,Yakima,187,165,10,486,Family,2018,4,2018-07-01,2018-09-30
West Virginia,Charleston,0,0,0,0,Family,2018,4,2018-07-01,2018-09-30
Wisconsin,Milwaukee,470,301,41,2253,Family,2018,4,2018-07-01,2018-09-30
Guam,Agana,195,117,11,529,Family,2018,4,2018-07-01,2018-09-30
U.S. Virgin Islands,Charlotte Amalie,30,42,nan,177,Family,2018,4,2018-07-01,2018-09-30
U.S. Virgin Islands,Christiansted,nan,nan,nan,48,Family,2018,4,2018-07-01,2018-09-30
Puerto Rico,San Juan,138,172,14,661,Family,2018,4,2018-07-01,2018-09-30
Service Center,California,0,nan,0,222,Family,2018,4,2018-07-01,2018-09-30
Service Center,National Benefits Center,0,0,0,0,Family,2018,4,2018-07-01,2018-09-30
Service Center,Nebraska,nan,0,0,0,Family,2018,4,2018-07-01,2018-09-30
Service Center,Potomac,0,0,0,0,Family,2018,4,2018-07-01,2018-09-30
Service Center,Texas,0,0,0,53,Family,2018,4,2018-07-01,2018-09-30
Alabama,Montgomery,540,512,108,2536,Family,2018,3,2018-04-01,2018-06-30
